2026-05-23 16:00 | 🌎 US | WURLDCAP | 0.0000068318058 | 6,777 | 520 | 12 | 652.13993127 | 0/0
2026-05-23 16:00 | 🌎 US | TOLYBOT | 0.00055834396 | 558,038 | 5187 | 80 | 25216.35268319 | 0/2
2026-05-23 16:00 | 🌎 US | Opossum | 0.000028055801 | 28,053 | 258 | 18 | 556.21024687 | 0/0
2026-05-23 16:00 | 🌎 US | Panda | 0.000049684157 | 49,669 | 406 | 28 | 1.10555061 | 0/0
2026-05-23 16:00 | 🌎 US | CupMarkets | 0 | 0 | 2 | 0 | 0 | 0/0
2026-05-24 02:00 | 🌏 Asia | MARKET | Vol=23777936.60554387 | Tokens=14732 | Traders=40352 | Fees=2170.291507107SOL
2026-05-24 02:00 | 🌏 Asia | REGIME | saturated | Vol/token=1614
2026-05-24 02:00 | 🌏 Asia | WURLDCAP | 0.0000069851677 | 6,929 | 504 | 13 | 238.27982021 | 0/0
2026-05-24 02:00 | 🌏 Asia | TOLYBOT | 0.00050517399 | 504,897 | 5136 | 80 | 30632.38093546 | 1/3
2026-05-24 02:00 | 🌏 Asia | Opossum | 0.000039793226 | 39,789 | 255 | 18 | 2299.53500676 | 0/0
2026-05-24 02:00 | 🌏 Asia | Panda | 0.000043730354 | 43,717 | 396 | 28 | 34.77764009 | 0/0
2026-05-24 02:00 | 🌏 Asia | CupMarkets | 0 | 0 | 49 | 0 | 0 | 0/0
2026-05-24 10:00 | 🌍 Europe | MARKET | Vol=0 | Tokens=1701 | Traders=0 | Fees=0SOL
2026-05-24 10:00 | 🌍 Europe | WURLDCAP | 0.0000062649908 | 6,214 | 489 | 13 | 159.21975483 | 0/0
2026-05-24 10:00 | 🌍 Europe | TOLYBOT | 0.00062054285 | 620,203 | 5151 | 84 | 50048.9551814 | 2/0
2026-05-24 10:00 | 🌍 Europe | Opossum | 0.000032144448 | 32,141 | 247 | 18 | 1354.26355452 | 0/0
2026-05-24 10:00 | 🌍 Europe | Panda | 0.000049065719 | 49,050 | 390 | 28 | 0.091796702 | 0/0
2026-05-24 10:00 | 🌍 Europe | CupMarkets | 0 | 0 | 254 | 0 | 0 | 0/0
2026-05-24 16:00 | 🌎 US | MARKET | Vol=14494536.183906795 | Tokens=6080 | Traders=30833 | Fees=863.211697042SOL
2026-05-24 16:00 | 🌎 US | REGIME | saturated | Vol/token=2384
2026-05-24 16:00 | 🌎 US | WURLDCAP | 0.0000055711107 | 5,526 | 480 | 13 | 15.6810728 | 0/0
2026-05-24 16:00 | 🌎 US | TOLYBOT | 0.00080625544 | 805,813 | 5091 | 84 | 39394.38363402 | 3/7
2026-05-24 16:00 | 🌎 US | Opossum | 0.000030622174 | 30,619 | 265 | 18 | 1841.3206239 | 0/0
2026-05-24 16:00 | 🌎 US | Panda | 0.00004971488 | 49,699 | 393 | 28 | 0 | 0/0
2026-05-24 16:00 | 🌎 US | CupMarkets | 0 | 0 | 293 | 0 | 0 | 0/0
2026-05-25 02:00 | 🌏 Asia | MARKET | Vol=25118323.14706488 | Tokens=14875 | Traders=47518 | Fees=2206.09109488SOL
2026-05-25 02:00 | 🌏 Asia | REGIME | saturated | Vol/token=1689
2026-05-25 02:00 | 🌏 Asia | WURLDCAP | 0.0000068312042 | 6,776 | 483 | 13 | 80.25302736 | 0/0
2026-05-25 02:00 | 🌏 Asia | TOLYBOT | 0.00055492024 | 554,615 | 5092 | 84 | 26327.034276915 | 0/3
2026-05-25 02:00 | 🌏 Asia | Opossum | 0.000036717245 | 36,714 | 241 | 18 | 101.21591306 | 0/0
